,species,stage,PC1,PC2,PC3,D,WD,HD,UD,size,stage_ma,order,family,color
1450,Sinuiceras planulatum,Pliensbachian,-0.192879678,0.074678195,-0.035017086,17.1,0.204678363,0.34502924,0.34502924,255.85875,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1451,Sinuiceras planulatum,Pliensbachian,-0.158477035,0.073690251,0.01430688,14,0.228571429,0.4,0.35,156.8,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1452,Sinuiceras planulatum,Pliensbachian,-0.052029115,0.020284166,0.031536507,11.2,0.339285714,0.4375,0.321428571,119.168,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1453,Sinuiceras planulatum,Pliensbachian,-0.106328678,0.059879767,0.024802524,10.6,0.273584906,0.424528302,0.330188679,81.461,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1454,Sinuiceras planulatum,Pliensbachian,-0.15435921,0.065342698,-0.026142344,11.8,0.237288136,0.36440678,0.330508475,97.468,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1455,Sinuiceras planulatum,Pliensbachian,-0.09871137,0.055920304,0.05839065,11,0.281818182,0.454545455,0.345454545,93.775,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1456,Sinuiceras planulatum,Pliensbachian,-0.120406962,0.057583976,0.040213538,10.9,0.266055046,0.431192661,0.348623853,86.13725,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1457,Sinuiceras planulatum,Pliensbachian,-0.138257036,0.037554543,0.047414109,10.4,0.269230769,0.423076923,0.375,75.712,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1458,Sinuiceras planulatum,Pliensbachian,-0.080801746,0.078924632,0.009625301,10.5,0.276190476,0.428571429,0.295238095,79.93125,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1459,Sinuiceras planulatum,Pliensbachian,-0.157872854,0.042453024,0.001678198,11.1,0.252252252,0.378378378,0.36036036,86.247,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1460,Sinuiceras planulatum,Pliensbachian,-0.148846405,-0.005878385,0.055878303,9.5,0.294736842,0.410526316,0.410526316,63.175,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1461,Sinuiceras planulatum,Pliensbachian,-0.12486505,0.082079162,0.025252596,9.4,0.244680851,0.425531915,0.329787234,50.807,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1462,Sinuiceras planulatum,Pliensbachian,-0.119990124,0.07580492,0.012171541,9.9,0.252525253,0.414141414,0.323232323,61.25625,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1463,Sinuiceras planulatum,Pliensbachian,-0.101422947,0.075270024,0.02078779,9.8,0.265306122,0.428571429,0.316326531,62.426,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1464,Sinuiceras planulatum,Pliensbachian,-0.124967819,0.045592242,0.000277215,9.2,0.27173913,0.391304348,0.336956522,52.9,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1465,Sinuiceras planulatum,Pliensbachian,-0.108485088,0.06695073,-0.006162047,9,0.266666667,0.4,0.311111111,48.6,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1466,Sinuiceras planulatum,Pliensbachian,-0.127656093,0.0389686,0.014604829,8,0.275,0.4,0.35,35.2,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1467,Sinuiceras planulatum,Pliensbachian,-0.137309912,0.0513908,0.00802295,8.1,0.259259259,0.395061728,0.345679012,34.44525,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1468,Sinuiceras planulatum,Pliensbachian,-0.099109997,0.058248909,0.087669117,7.5,0.28,0.48,0.36,29.53125,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1469,Miltoceras furlense,Pliensbachian,-0.006994708,-0.070448292,-0.019364871,15.8,0.436708861,0.379746835,0.316455696,430.629,186.75,Ammonitida,Coeloceratidae,#80C5DD
1470,Miltoceras furlense,Pliensbachian,-0.053324429,0.011891695,-0.008621975,18,0.344444444,0.4,0.305555556,502.2,186.75,Ammonitida,Coeloceratidae,#80C5DD
1471,Miltoceras furlense,Pliensbachian,0.035862361,-0.012828789,0.053421849,14.2,0.422535211,0.478873239,0.295774648,302.46,186.75,Ammonitida,Coeloceratidae,#80C5DD
1472,Miltoceras furlense,Pliensbachian,0.044349363,-0.04390602,0.040505444,11.3,0.451327434,0.460176991,0.300884956,162.80475,186.75,Ammonitida,Coeloceratidae,#80C5DD
1473,Miltoceras furlense,Pliensbachian,-0.072586237,-0.062637321,0.017158816,20.9,0.387559809,0.387559809,0.373205742,884.54025,186.75,Ammonitida,Coeloceratidae,#80C5DD
1474,Miltoceras furlense,Pliensbachian,0.023441307,-0.069272254,0.056658058,9.2,0.456521739,0.456521739,0.336956522,88.872,186.75,Ammonitida,Coeloceratidae,#80C5DD
1475,Miltoceras furlense,Pliensbachian,0.044350437,-0.133712253,0.118032696,7.9,0.518987342,0.493670886,0.392405063,63.97025,186.75,Ammonitida,Coeloceratidae,#80C5DD
1476,Miltoceras furlense,Pliensbachian,0.058500397,-0.129234287,0.049223279,6.1,0.524590164,0.442622951,0.344262295,29.768,186.75,Ammonitida,Coeloceratidae,#80C5DD
1477,Miltoceras furlense,Pliensbachian,-0.018482366,-0.132384956,-0.082059828,4,0.475,0.3,0.325,7.6,186.75,Ammonitida,Coeloceratidae,#80C5DD
1478,Miltoceras furlense,Pliensbachian,0.018023264,-0.080675903,0.069931952,6.5,0.461538462,0.461538462,0.353846154,31.6875,186.75,Ammonitida,Coeloceratidae,#80C5DD
1479,Miltoceras furlense,Pliensbachian,-0.056631681,9.86E-05,0.003316135,13.1,0.351145038,0.404580153,0.320610687,197.3515,186.75,Ammonitida,Coeloceratidae,#80C5DD
1480,Miltoceras furlense,Pliensbachian,-0.083984127,-0.039701026,0.036233668,13.5,0.362962963,0.407407407,0.377777778,223.25625,186.75,Ammonitida,Coeloceratidae,#80C5DD
1481,Miltoceras furlense,Pliensbachian,-0.078486088,-0.077882832,0.035335101,12.4,0.39516129,0.39516129,0.39516129,188.356,186.75,Ammonitida,Coeloceratidae,#80C5DD
1482,Miltoceras furlense,Pliensbachian,-0.020639772,-0.153360239,0.034152835,10,0.49,0.39,0.4,122.5,186.75,Ammonitida,Coeloceratidae,#80C5DD
1483,Miltoceras furlense,Pliensbachian,-0.066462931,-0.035700278,0.009178476,14,0.371428571,0.392857143,0.35,254.8,186.75,Ammonitida,Coeloceratidae,#80C5DD
1484,Miltoceras furlense,Pliensbachian,-0.029915078,-0.009692748,0.034720137,17.8,0.376404494,0.438202247,0.325842697,530.707,186.75,Ammonitida,Coeloceratidae,#80C5DD
1485,Miltoceras furlense,Pliensbachian,0.009557919,-0.079342161,0.011345657,11,0.454545455,0.409090909,0.327272727,151.25,186.75,Ammonitida,Coeloceratidae,#80C5DD
1486,Miltoceras furlense,Pliensbachian,0.099665835,-0.152171846,-0.019913321,5.1,0.568627451,0.392156863,0.294117647,18.85725,186.75,Ammonitida,Coeloceratidae,#80C5DD
1487,Miltoceras furlense,Pliensbachian,0.059574987,-0.109469225,-0.000347526,4.9,0.510204082,0.408163265,0.306122449,15.00625,186.75,Ammonitida,Coeloceratidae,#80C5DD
1488,Miltoceras furlense,Pliensbachian,-0.043959145,0.02291025,-0.030334639,14.9,0.342281879,0.389261745,0.281879195,283.06275,186.75,Ammonitida,Coeloceratidae,#80C5DD
1489,Miltoceras furlense,Pliensbachian,-0.005020747,-0.100844092,-0.031303863,8.9,0.460674157,0.359550562,0.325842697,81.19025,186.75,Ammonitida,Coeloceratidae,#80C5DD
1490,Polymorphites acutiventris,Pliensbachian,-0.243872794,-0.021700567,0.017805776,18.5,0.243243243,0.335135135,0.459459459,385.03125,186.75,Ammonitida,Polymorphitidae,#80C5DD
1491,Polymorphites acutiventris,Pliensbachian,-0.120563906,0.016645459,-0.039903107,15.2,0.296052632,0.348684211,0.328947368,259.92,186.75,Ammonitida,Polymorphitidae,#80C5DD
1492,Polymorphites acutiventris,Pliensbachian,-0.168755533,-0.048964201,-0.007837507,15,0.313333333,0.333333333,0.413333333,264.375,186.75,Ammonitida,Polymorphitidae,#80C5DD
1493,Polymorphites acutiventris,Pliensbachian,-0.245538683,-0.021213078,-0.04351033,14.5,0.24137931,0.282758621,0.427586207,183.96875,186.75,Ammonitida,Polymorphitidae,#80C5DD
1494,Polymorphites acutiventris,Pliensbachian,0.032860613,-0.061944493,0.033022214,7,0.457142857,0.442857143,0.314285714,39.2,186.75,Ammonitida,Polymorphitidae,#80C5DD
1495,Polymorphites acutiventris,Pliensbachian,-0.104089975,0.001365983,0.026353781,6.9,0.31884058,0.405797101,0.362318841,26.1855,186.75,Ammonitida,Polymorphitidae,#80C5DD
1496,Polymorphites acutiventris,Pliensbachian,-0.235478892,-0.054687687,-0.005806757,15,0.273333333,0.306666667,0.46,230.625,186.75,Ammonitida,Polymorphitidae,#80C5DD
1497,Polymorphites acutiventris,Pliensbachian,-0.104259837,-0.035154804,0.044105987,13,0.346153846,0.407692308,0.392307692,190.125,186.75,Ammonitida,Polymorphitidae,#80C5DD
1498,Polymorphites acutiventris,Pliensbachian,-0.186245176,0.003333159,-0.057292855,12.2,0.262295082,0.303278689,0.368852459,119.072,186.75,Ammonitida,Polymorphitidae,#80C5DD
1499,Polymorphites acutiventris,Pliensbachian,-0.060512399,-0.032578408,-0.040184606,11,0.372727273,0.354545455,0.318181818,124.025,186.75,Ammonitida,Polymorphitidae,#80C5DD
1500,Polymorphites acutiventris,Pliensbachian,-0.088257377,-0.030016822,-0.042137116,10.5,0.352380952,0.342857143,0.333333333,101.98125,186.75,Ammonitida,Polymorphitidae,#80C5DD
1501,Polymorphites acutiventris,Pliensbachian,-0.118707682,-0.002826515,0.061853168,11.2,0.3125,0.428571429,0.392857143,109.76,186.75,Ammonitida,Polymorphitidae,#80C5DD
1502,Polymorphites acutiventris,Pliensbachian,-0.080472518,-0.049779784,-0.04028944,9.4,0.372340426,0.340425532,0.340425532,77.315,186.75,Ammonitida,Polymorphitidae,#80C5DD
1503,Polymorphites acutiventris,Pliensbachian,-0.067284534,-0.040857276,0.049720414,12,0.375,0.425,0.375,162,186.75,Ammonitida,Polymorphitidae,#80C5DD
1504,Polymorphites acutiventris,Pliensbachian,-0.036781857,-0.047359659,0.032333474,10,0.4,0.42,0.35,100,186.75,Ammonitida,Polymorphitidae,#80C5DD
1505,Polymorphites acutiventris,Pliensbachian,-0.223756151,-0.016864086,-0.068403657,10.3,0.252427184,0.27184466,0.398058252,68.9585,186.75,Ammonitida,Polymorphitidae,#80C5DD
1506,Polymorphites acutiventris,Pliensbachian,-0.120699549,-0.052767539,0.028885861,8.9,0.348314607,0.382022472,0.404494382,61.38775,186.75,Ammonitida,Polymorphitidae,#80C5DD
1507,Polymorphites acutiventris,Pliensbachian,-0.16412863,-0.043864298,-0.021997289,8,0.3125,0.325,0.4,40,186.75,Ammonitida,Polymorphitidae,#80C5DD
1508,Polymorphites acutiventris,Pliensbachian,-0.263078009,-0.021728759,-0.042919662,23.9,0.230125523,0.276150628,0.439330544,785.41375,186.75,Ammonitida,Polymorphitidae,#80C5DD
1509,Polymorphites acutiventris,Pliensbachian,-0.26094057,-0.015723393,-0.047015652,18.5,0.227027027,0.275675676,0.432432432,359.3625,186.75,Ammonitida,Polymorphitidae,#80C5DD
1510,Sphenoacanthites costotuberculatum,Pliensbachian,-0.185569837,0.113434841,-0.013410621,32.1,0.180685358,0.380062305,0.330218069,1494.0945,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1511,Sphenoacanthites costotuberculatum,Pliensbachian,-0.147816553,0.089205529,-0.011330505,26.8,0.223880597,0.388059701,0.320895522,1077.36,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1512,Sphenoacanthites costotuberculatum,Pliensbachian,-0.210639066,0.023058508,0.050893694,18.1,0.232044199,0.392265193,0.430939227,343.9905,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1513,Sphenoacanthites costotuberculatum,Pliensbachian,-0.121557398,0.103112978,-0.033525203,13,0.230769231,0.384615385,0.284615385,126.75,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1514,Sphenoacanthites costotuberculatum,Pliensbachian,-0.13383209,0.046734989,0.047962802,9.8,0.265306122,0.428571429,0.367346939,62.426,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1515,Sphenoacanthites costotuberculatum,Pliensbachian,-0.089669295,0.024751518,0.055410012,9,0.311111111,0.444444444,0.355555556,56.7,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1516,Sphenoacanthites costotuberculatum,Pliensbachian,-0.14412191,0.051723339,0.016894611,11,0.254545455,0.4,0.354545455,84.7,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1517,Sphenoacanthites costotuberculatum,Pliensbachian,-0.194137678,0.062133303,-0.044183211,31.9,0.213166144,0.332288401,0.347962382,1729.937,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1519,Sphenoacanthites costotuberculatum,Pliensbachian,-0.147963518,0.050104035,0.010396682,15.8,0.253164557,0.392405063,0.35443038,249.64,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1520,Sphenoacanthites costotuberculatum,Pliensbachian,-0.105154392,0.109182615,0.011839883,13.9,0.237410072,0.431654676,0.294964029,159.39825,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1521,Sphenoacanthites costotuberculatum,Pliensbachian,-0.187961987,0.043161856,0.040960394,12.5,0.232,0.4,0.4,113.28125,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1522,Sphenoacanthites costotuberculatum,Pliensbachian,-0.151502146,0.056909736,0.016142427,11.8,0.245762712,0.398305085,0.355932203,100.949,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1523,Sphenoacanthites costotuberculatum,Pliensbachian,-0.078075925,0.030238639,0.040308168,8.9,0.314606742,0.438202247,0.337078652,55.447,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1524,Sphenoacanthites costotuberculatum,Pliensbachian,-0.209702136,-0.000214097,0.039891446,8,0.25,0.375,0.4375,32,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1525,Sphenoacanthites costotuberculatum,Pliensbachian,-0.165954876,-0.003580167,0.060434239,7.1,0.281690141,0.408450704,0.422535211,25.205,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1526,Sphenoacanthites costotuberculatum,Pliensbachian,-0.091980262,0.014529189,-0.031092913,6,0.316666667,0.366666667,0.316666667,17.1,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1527,Sphenoacanthites costotuberculatum,Pliensbachian,-0.106617018,0.014168802,0.042539486,5.2,0.307692308,0.423076923,0.365384615,10.816,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1528,Sphenoacanthites costotuberculatum,Pliensbachian,-0.019249196,-0.002716957,0.051914556,3.7,0.378378378,0.459459459,0.324324324,4.7915,186.75,Ammonitida,Sinuiceratidae,#80C5DD
1529,Metaderoceras spirale,Pliensbachian,-0.288947788,-0.117660412,-0.02495125,15.8,0.284810127,0.246835443,0.518987342,280.845,186.75,Ammonitida,Eoderoceratidae,#80C5DD
1530,Metaderoceras spirale,Pliensbachian,-0.151350381,-0.036553938,-0.042407972,13,0.315384615,0.315384615,0.376923077,173.225,186.75,Ammonitida,Eoderoceratidae,#80C5DD
1531,Metaderoceras spirale,Pliensbachian,-0.193650099,-0.034295626,-0.027041477,11.2,0.285714286,0.3125,0.410714286,100.352,186.75,Ammonitida,Eoderoceratidae,#80C5DD
1532,Metaderoceras spirale,Pliensbachian,-0.149693411,-0.074688496,-0.005857328,8.4,0.345238095,0.333333333,0.416666667,51.156,186.75,Ammonitida,Eoderoceratidae,#80C5DD
1533,Metaderoceras spirale,Pliensbachian,-0.262980022,-0.060893691,-0.046136279,18.5,0.259459459,0.259459459,0.459459459,410.7,186.75,Ammonitida,Eoderoceratidae,#80C5DD
1534,Metaderoceras spirale,Pliensbachian,-0.13288911,4.25E-05,-0.084662394,9,0.3,0.3,0.322222222,54.675,186.75,Ammonitida,Eoderoceratidae,#80C5DD
1535,Metaderoceras spirale,Pliensbachian,-0.135928769,-0.024392002,-0.053474908,7.9,0.316455696,0.316455696,0.35443038,39.00625,186.75,Ammonitida,Eoderoceratidae,#80C5DD
1536,Metaderoceras spirale,Pliensbachian,-0.067644686,-0.028551561,-0.058301136,7.4,0.364864865,0.337837838,0.310810811,36.963,186.75,Ammonitida,Eoderoceratidae,#80C5DD
1538,Dubariceras dubari,Pliensbachian,-0.34005093,-0.085404539,-0.007399375,57.3,0.226876091,0.253054101,0.542757417,10670.6925,186.75,Ammonitida,Eoderoceratidae,#80C5DD
1539,Dubariceras dubari,Pliensbachian,-0.354547771,-0.1033282,0.05667125,51.5,0.231067961,0.295145631,0.596116505,7890.44375,186.75,Ammonitida,Eoderoceratidae,#80C5DD
1542,Joannites joannisaustriae,Carnian,0.18612501,0.141091604,-0.037270026,182,0.406593407,0.516483516,0.065934066,612794,232.5,Ceratitida,Joannitidae,#C99BCB
1543,Sphingites meyeri,Carnian,0.021881336,-0.209286358,0.026138813,10,0.56,0.38,0.4,140,232.5,Ceratitida,Sphingitidae,#C99BCB
1544,Sphingites meyeri,Carnian,0.001262694,-0.147773662,-0.022211705,17,0.5,0.352941176,0.352941176,614.125,232.5,Ceratitida,Sphingitidae,#C99BCB
1545,Simonyceras simonyi,Carnian,-0.131912787,0.106615947,0.044222917,248,0.221774194,0.447580645,0.330645161,845680,232.5,Phylloceratida,Ussuritidae,#C99BCB
1546,Discophyllites patens,Norian,-0.116956333,0.041862373,0.024145798,75,0.28,0.413333333,0.346666667,29531.25,218.25,Phylloceratida,Discophyllitidae,#D6AAD3
1547,Mojsvarites eugyrus,Carnian,-0.212573954,0.014926553,-0.052004806,99.5,0.236180905,0.301507538,0.381909548,58163.96875,232.5,Phylloceratida,Ussuritidae,#C99BCB
1548,Mojsvarites agenor,Carnian,-0.125463056,-0.034961832,0.019426403,107,0.331775701,0.378504673,0.392523364,101609.875,232.5,Phylloceratida,Ussuritidae,#C99BCB
1549,Tragorhacoceras occultum,Norian,-0.047932383,0.018898327,0.002781822,70,0.342857143,0.414285714,0.304285714,29400,218.25,Phylloceratida,Discophyllitidae,#D6AAD3
1550,Tragorhacoceras occultum,Norian,-0.011740769,0.033498661,0.006443972,61.8,0.355987055,0.436893204,0.275080906,21005.82,218.25,Phylloceratida,Discophyllitidae,#D6AAD3
1551,Rhacophyllites invalidus,Rhaetian,-0.148916995,0.030678445,-0.050747402,15,0.266666667,0.333333333,0.333333333,225,204.9,Phylloceratida,Discophyllitidae,#E3B9DB
1552,Rhacophyllites despectus,Norian,-0.099357067,-0.069916775,-0.019043389,16,0.375,0.34375,0.375,384,218.25,Phylloceratida,Discophyllitidae,#D6AAD3
1553,Rhacophyllites despectus,Norian,-0.091832334,-0.047950474,-0.008338629,33,0.363636364,0.363636364,0.363636364,3267,218.25,Phylloceratida,Discophyllitidae,#D6AAD3
1554,Rhacophyllites pumilus,Carnian,0.038031387,-0.00593311,0.00418882,22.7,0.418502203,0.440528634,0.264317181,1223.81375,232.5,Phylloceratida,Discophyllitidae,#C99BCB
1555,Rhacophyllites pumilus,Carnian,-0.058152702,-0.04334159,-0.038632283,17,0.382352941,0.352941176,0.323529412,469.625,232.5,Phylloceratida,Discophyllitidae,#C99BCB
1556,Megaphyllites transiens,Norian,0.295933258,0.178766763,0.009519874,31,0.451612903,0.612903226,3.23E-05,3363.5,218.25,Ceratitida,Megaphyllitidae,#D6AAD3
1557,Megaphyllites humilis,Carnian,0.240782895,0.198440068,-0.035580477,25,0.4,0.56,4.00E-05,1562.5,232.5,Ceratitida,Megaphyllitidae,#C99BCB
1558,Megaphyllites humilis,Carnian,0.222440372,0.215553597,-0.03950886,36,0.375,0.555555556,2.78E-05,4374,232.5,Ceratitida,Megaphyllitidae,#C99BCB
1559,Megaphyllites humilis,Carnian,0.230117614,0.222509561,-0.023054044,40,0.375,0.575,2.50E-05,6000,232.5,Ceratitida,Megaphyllitidae,#C99BCB
1560,Megaphyllites applanatus,Carnian,0.257608414,0.208495196,-0.004958756,26,0.403846154,0.596153846,3.85E-05,1774.5,232.5,Ceratitida,Megaphyllitidae,#C99BCB
1561,Megaphyllites applanatus,Carnian,0.289768468,0.175357465,-0.001410211,30,0.45,0.6,3.33E-05,3037.5,232.5,Ceratitida,Megaphyllitidae,#C99BCB
1562,Megaphyllites jarbas,Carnian,0.246793271,0.252951935,0.028809357,33,0.363636364,0.636363636,3.03E-05,3267,232.5,Ceratitida,Megaphyllitidae,#C99BCB
1563,Megaphyllites jarbas,Carnian,0.240102347,0.226997574,-0.006455112,74,0.378378378,0.594594595,1.35E-05,38332,232.5,Ceratitida,Megaphyllitidae,#C99BCB
1564,Megaphyllites jarbas,Carnian,0.295064536,-0.027864494,-0.208471013,24,0.604166667,0.354166667,4.17E-05,2088,232.5,Ceratitida,Megaphyllitidae,#C99BCB
1565,Placites polydactylus,Norian,0.147232431,0.332139503,-0.006811606,84,0.238095238,0.595238095,1.19E-05,35280,218.25,Ceratitida,Gymnitidae,#D6AAD3
1566,Placites polydactylus,Norian,0.198415982,0.3317849,0.053864065,66,0.272727273,0.666666667,1.52E-05,19602,218.25,Ceratitida,Gymnitidae,#D6AAD3
1567,Placites perauctus,Norian,0.146660294,0.358490704,0.020170773,110,0.218181818,0.627272727,9.09E-06,72600,218.25,Ceratitida,Gymnitidae,#D6AAD3
1568,Placites omphalius,Norian,0.087457112,0.308380181,-0.001585754,37,0.216216216,0.567567568,0.054054054,2738,218.25,Ceratitida,Gymnitidae,#D6AAD3
1569,Paragymnites symmetricus,Norian,0.147858605,0.303150384,-0.03648956,50,0.26,0.56,2.00E-05,8125,218.25,Ceratitida,Gymnitidae,#D6AAD3
1570,Placites subsymmetricus,Norian,0.150385397,0.329814602,-0.005484676,62,0.241935484,0.596774194,1.61E-05,14415,218.25,Ceratitida,Gymnitidae,#D6AAD3
1571,Hyattites praefloridus,Carnian,0.147940126,0.329211184,-0.009030058,54,0.240740741,0.592592593,1.85E-05,9477,232.5,Ceratitida,Haloritidae,#C99BCB
1572,Pinacoceras metternichi,Norian,0.003382327,0.33953008,0.003706652,700,0.137142857,0.55,0.092857143,11760000,218.25,Ceratitida,Pinacoceratidae,#D6AAD3
1573,Pinacoceras parma,Norian,-0.00132087,0.347451239,0.008091487,640,0.128125,0.5546875,0.09375,8396800,218.25,Ceratitida,Pinacoceratidae,#D6AAD3
1574,Pinacoceras metternichi,Norian,0.038112514,0.341684676,0.009006705,290,0.15862069,0.568965517,0.072413793,967150,218.25,Ceratitida,Pinacoceratidae,#D6AAD3
1575,Pinacoceras parmaeforme,Carnian,-0.038710094,0.354558462,0.01582984,153,0.098039216,0.549019608,0.117647059,87783.75,232.5,Ceratitida,Pinacoceratidae,#C99BCB
1576,Protoplatytes neglectus,Rhaetian,-0.101482713,0.302646594,0.023191686,84,0.095238095,0.511904762,0.19047619,14112,204.9,Ceratitida,Gymnitidae,#E3B9DB
1577,Pinacoceras solum,Carnian,-0.118897177,0.171380794,0.01901217,22,0.181818182,0.454545455,0.272727273,484,232.5,Ceratitida,Pinacoceratidae,#C99BCB
1578,Cladiscites tornatus,Norian,0.361507138,0.102211332,0.007294349,105,0.552380952,0.60952381,9.52E-06,159862.5,218.25,Ceratitida,Cladiscitidae,#D6AAD3
1579,Cladiscites tornatus,Norian,0.351190188,0.07154316,-0.037209295,88,0.568181818,0.556818182,1.14E-05,96800,218.25,Ceratitida,Cladiscitidae,#D6AAD3
1580,Cladiscites tornatus,Norian,0.357773179,0.034574852,-0.068160607,50,0.6,0.52,2.00E-05,18750,218.25,Ceratitida,Cladiscitidae,#D6AAD3
1581,Cladiscites quadratus,Norian,0.365511948,0.048012017,-0.044814481,42,0.595238095,0.547619048,2.38E-05,11025,218.25,Ceratitida,Cladiscitidae,#D6AAD3
1582,Cladiscites morosus,Norian,0.339952963,0.073989256,-0.048008501,34,0.558823529,0.544117647,2.94E-05,5491,218.25,Ceratitida,Cladiscitidae,#D6AAD3
1583,Cladiscites pusillus,Carnian,0.43022257,-0.005799948,-0.024122795,28,0.678571429,0.571428571,3.57E-05,3724,232.5,Ceratitida,Cladiscitidae,#C99BCB
1584,Cladiscites obesus,Norian,0.491423157,-0.114195574,-0.06500115,90,0.8,0.522222222,1.11E-05,145800,218.25,Ceratitida,Cladiscitidae,#D6AAD3
1585,Cladiscites striatissimus,Carnian,0.528382469,-0.0132416,0.085156248,20,0.75,0.7,5.00E-05,1500,232.5,Ceratitida,Cladiscitidae,#C99BCB
1586,Cladiscites monticola,Norian,0.290726229,0.127499381,-0.050557714,72,0.486111111,0.541666667,1.39E-05,45360,218.25,Ceratitida,Cladiscitidae,#D6AAD3
1587,Cladiscites crassestriatus,Carnian,0.293276517,0.151958329,-0.021802361,33,0.46969697,0.575757576,3.03E-05,4219.875,232.5,Ceratitida,Cladiscitidae,#C99BCB
1588,Paracladiscites multilobatus,Norian,0.332692157,0.05972919,-0.071666473,62,0.564516129,0.516129032,1.61E-05,33635,218.25,Ceratitida,Cladiscitidae,#D6AAD3
1589,Joannites styriacus,Carnian,0.131040922,0.211466632,0.001759345,85,0.317647059,0.552941176,0.082352941,48768.75,232.5,Ceratitida,Joannitidae,#C99BCB
1590,Sphingites bacchus,Carnian,0.615076119,-0.48082345,-0.067844533,16,1.15625,0.4375,0.125,1184,232.5,Ceratitida,Sphingitidae,#C99BCB
1591,Sphingites bacchus,Carnian,0.354058612,0.233528749,0.378537594,15.5,0.451612903,0.967741935,0.129032258,420.4375,232.5,Ceratitida,Sphingitidae,#C99BCB
1592,Sphingites coangustatus,Carnian,-0.258690521,-0.063905361,-0.023288979,34,0.264705882,0.279411765,0.470588235,2601,232.5,Ceratitida,Sphingitidae,#C99BCB
1593,Lanceoptychites indistinctus,Anisian,0.024811754,0.196431136,-0.017664197,87.9,0.258248009,0.489192264,0.147895336,43847.37675,244.6,Ceratitida,Ptychitidae,#BC75B7
1594,Lanceoptychites charlyanus,Anisian,0.099803516,0.211216927,-0.008773555,65.65,0.297029703,0.531607007,0.096725057,21010.87219,244.6,Ceratitida,Ptychitidae,#BC75B7
1595,Ammotibetites timorensis,Norian,0.099488042,0.267865925,0.005279068,55,0.254545455,0.563636364,0.072727273,10587.5,218.25,Ceratitida,Tibetitidae,#D6AAD3
1596,Ammotibetites timorensis,Norian,0.142055044,0.212415575,0.013503426,37,0.324324324,0.567567568,0.081081081,4107,218.25,Ceratitida,Tibetitidae,#D6AAD3
1597,Ammotibetites timorensis,Norian,0.071226675,0.207076308,0.005883127,32,0.28125,0.53125,0.125,2304,218.25,Ceratitida,Tibetitidae,#D6AAD3
1599,Ammotibetites elisae,Norian,0.047005459,0.174634134,-0.196288653,59,0.288135593,0.338983051,0.050847458,14794.25,218.25,Ceratitida,Tibetitidae,#D6AAD3
1600,Ammotibetites elisae,Norian,0.111557781,0.254268636,0.005395747,55,0.272727273,0.563636364,0.072727273,11343.75,218.25,Ceratitida,Tibetitidae,#D6AAD3
1602,Paratibetites bertrandi,Norian,0.07462506,0.197159149,0.003789576,110,0.290909091,0.527272727,0.127272727,96800,218.25,Ceratitida,Tibetitidae,#D6AAD3
1603,Margaritropites margaritiformis,Carnian,0.057571528,-0.109194876,0.015700809,57,0.50877193,0.421052632,0.315789474,23555.25,232.5,Ammonoidea,Tropitidae,#C99BCB
1604,Hoplotropites auctus,Carnian,-0.149579534,-0.098794719,0.040082301,22,0.363636364,0.363636364,0.454545455,968,232.5,Ammonoidea,Tropitidae,#C99BCB
1605,Hoplotropites jokelyi,Carnian,-0.110610748,-0.144796402,0.012217009,59,0.423728814,0.338983051,0.440677966,21756.25,232.5,Ammonoidea,Tropitidae,#C99BCB
